playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,BA,SLG
ibanera01,1998,1,SEA,AL,37,98,12,25,7,1,2,12,0,0,5,22,0,0,0,0,4,0.255102041,0.408163265
gonzaal02,1998,1,FLO,NL,25,86,11,13,2,0,3,7,0,0,9,30,0,1,2,0,2,0.151162791,0.279069767
konerpa01,1998,2,CIN,NL,26,73,7,16,3,0,3,13,0,0,6,10,0,1,0,1,5,0.219178082,0.383561644
beltrca01,1998,1,KCA,AL,14,58,12,16,5,3,0,7,3,0,3,12,0,1,0,1,2,0.275862069,0.465517241
wrighja01,1998,1,COL,NL,34,57,5,10,2,1,1,4,0,0,3,29,0,0,8,0,1,0.175438596,0.298245614
chaveer01,1998,1,OAK,AL,16,45,6,14,4,1,0,6,1,1,3,5,1,0,0,0,1,0.311111111,0.444444444
hunteto01,1998,1,MIN,AL,6,17,0,4,1,0,0,2,0,1,2,6,0,0,0,0,1,0.235294118,0.294117647
pierzaj01,1998,1,MIN,AL,7,10,1,3,0,0,0,1,0,0,1,2,0,1,0,1,0,0.3,0.3
chenbr01,1998,1,ATL,NL,4,7,0,1,0,0,0,1,0,0,0,4,0,0,2,0,0,0.142857143,0.142857143
colonba01,1998,1,CLE,AL,31,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0.5,0.5
beltrca01,1999,1,KCA,AL,156,663,112,194,27,7,22,108,27,8,46,123,2,4,0,10,17,0.292609351,0.453996983
jeterde01,1999,1,NYA,AL,158,627,134,219,37,9,24,102,19,8,91,116,5,12,3,6,12,0.349282297,0.551834131
giambja01,1999,1,OAK,AL,158,575,115,181,36,1,33,123,1,1,105,106,6,7,0,8,11,0.314782609,0.553043478
gonzaal02,1999,1,FLO,NL,136,560,81,155,28,8,14,59,3,5,15,113,0,12,1,3,13,0.276785714,0.430357143
abreubo01,1999,1,PHI,NL,152,546,118,183,35,11,20,93,27,9,109,113,8,3,0,4,13,0.335164835,0.549450549
beltrad01,1999,1,LAN,NL,152,538,84,148,27,5,15,67,18,7,61,105,12,6,4,5,4,0.275092937,0.427509294
konerpa01,1999,1,CHA,AL,142,513,71,151,31,4,24,81,1,0,45,68,0,2,1,3,19,0.294346979,0.510721248
hunteto01,1999,1,MIN,AL,135,384,52,98,17,2,9,35,10,6,26,72,1,6,1,5,9,0.255208333,0.380208333
chaveer01,1999,1,OAK,AL,115,356,47,88,21,2,13,50,1,1,46,56,4,0,0,0,7,0.247191011,0.426966292
ibanera01,1999,1,SEA,AL,87,209,23,54,7,0,9,27,5,1,17,32,1,0,0,1,4,0.258373206,0.421052632
ramirar01,1999,1,PIT,NL,18,56,2,10,2,1,0,7,0,0,6,9,0,0,1,1,0,0.178571429,0.25
farnsky01,1999,1,CHN,NL,27,35,3,3,0,0,0,2,0,0,2,10,0,1,6,0,0,0.085714286,0.085714286
wrighja01,1999,1,COL,NL,16,32,0,4,1,0,0,2,0,0,0,13,0,0,3,0,0,0.125,0.15625
wolfra02,1999,1,PHI,NL,22,30,2,7,1,0,0,0,0,0,2,8,0,0,7,0,0,0.233333333,0.266666667
nathajo01,1999,1,SFN,NL,19,28,1,5,1,0,0,1,0,0,2,6,0,0,5,0,0,0.178571429,0.214285714
pierzaj01,1999,1,MIN,AL,9,22,3,6,2,0,0,3,0,0,1,4,0,1,0,0,0,0.272727273,0.363636364
mcdonjo03,1999,1,CLE,AL,18,21,2,7,0,0,0,0,0,1,0,3,0,0,0,0,2,0.333333333,0.333333333
ortizda01,1999,1,MIN,AL,10,20,1,0,0,0,0,0,0,0,5,12,0,0,0,0,2,0,0
molinjo01,1999,1,CHN,NL,10,19,3,5,1,0,0,1,0,0,2,4,1,0,0,0,0,0.263157895,0.315789474
burneaj01,1999,1,FLO,NL,7,17,1,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0.117647059,0.117647059
chenbr01,1999,1,ATL,NL,16,11,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0
carlybu01,1999,1,SDN,NL,7,9,1,2,0,0,0,1,0,0,2,3,0,0,0,0,1,0.222222222,0.222222222
soriaal01,1999,1,NYA,AL,9,8,2,1,0,0,1,1,0,1,0,3,0,0,0,0,0,0.125,0.5
colonba01,1999,1,CLE,AL,32,7,0,1,0,0,0,0,0,0,0,5,0,0,1,0,0,0.142857143,0.142857143
hudsoti01,1999,1,OAK,AL,24,4,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0.25,0.25
hawkila01,1999,1,MIN,AL,33,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
jeterde01,2000,1,NYA,AL,148,593,119,201,31,4,15,73,22,4,68,99,4,12,3,3,14,0.338954469,0.480607083
abreubo01,2000,1,PHI,NL,154,576,103,182,42,10,25,79,28,8,100,116,9,1,0,3,12,0.315972222,0.553819444
konerpa01,2000,1,CHA,AL,143,524,84,156,31,1,21,97,1,0,47,72,0,10,0,5,22,0.297709924,0.480916031
giambja01,2000,1,OAK,AL,152,510,108,170,29,1,43,137,2,0,137,96,6,9,0,8,9,0.333333333,0.647058824
beltrad01,2000,1,LAN,NL,138,510,71,148,30,2,20,85,12,5,56,80,2,2,3,4,13,0.290196078,0.474509804
chaveer01,2000,1,OAK,AL,153,501,89,139,23,4,26,86,2,2,62,94,8,1,0,5,9,0.27744511,0.49500998
furcara01,2000,1,ATL,NL,131,455,87,134,20,4,4,37,40,14,73,80,0,3,9,2,2,0.294505495,0.382417582
ortizda01,2000,1,MIN,AL,130,415,59,117,36,1,10,63,1,0,57,81,2,0,0,6,13,0.281927711,0.445783133
gonzaal02,2000,1,FLO,NL,109,385,35,77,17,4,7,42,7,1,13,77,0,2,5,2,7,0.2,0.319480519
beltrca01,2000,1,KCA,AL,98,372,49,92,15,4,7,44,13,0,35,69,2,0,2,4,12,0.247311828,0.365591398
hunteto01,2000,1,MIN,AL,99,336,44,94,14,7,5,44,4,3,18,68,2,2,0,2,13,0.279761905,0.407738095
ramirar01,2000,1,PIT,NL,73,254,19,65,15,2,6,35,0,0,10,36,0,5,1,4,9,0.255905512,0.401574803
ibanera01,2000,1,SEA,AL,92,140,21,32,8,0,2,15,2,0,14,25,1,1,0,1,1,0.228571429,0.328571429
pierzaj01,2000,1,MIN,AL,33,88,12,27,5,1,2,11,1,0,5,14,0,2,0,1,1,0.306818182,0.454545455
wolfra02,2000,1,PHI,NL,32,57,5,11,2,0,0,4,0,0,3,19,0,0,10,1,0,0.192982456,0.228070175
rolliji01,2000,1,PHI,NL,14,53,5,17,1,1,0,5,3,0,2,7,0,0,0,0,0,0.320754717,0.377358491
soriaal01,2000,1,NYA,AL,22,50,5,9,3,0,2,3,2,0,1,15,0,0,2,0,0,0.18,0.36
wrighja01,2000,1,MIL,NL,26,46,0,3,1,0,0,0,0,0,0,17,0,0,4,0,0,0.065217391,0.086956522
pennybr01,2000,1,FLO,NL,24,45,2,5,0,0,0,2,0,0,0,17,0,0,1,0,0,0.111111111,0.111111111
nathajo01,2000,1,SFN,NL,20,32,3,5,2,0,2,3,0,0,1,9,0,0,4,1,1,0.15625,0.40625
downssc01,2000,1,CHN,NL,18,26,2,2,0,0,0,1,0,0,2,10,0,0,4,0,0,0.076923077,0.076923077
chenbr01,2000,2,PHI,NL,15,25,0,1,0,0,0,1,0,0,1,17,0,0,5,0,0,0.04,0.04
burneaj01,2000,1,FLO,NL,13,25,3,7,1,1,1,3,0,0,3,10,0,0,2,0,0,0.28,0.52
arroybr01,2000,1,PIT,NL,21,21,2,3,2,0,0,0,0,0,0,10,0,0,2,0,0,0.142857143,0.238095238
farnsky01,2000,1,CHN,NL,46,14,0,1,1,0,0,0,0,0,0,6,0,0,2,0,0,0.071428571,0.142857143
mcdonjo03,2000,1,CLE,AL,9,9,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0.444444444,0.444444444
colonba01,2000,1,CLE,AL,30,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
chenbr01,2000,1,ATL,NL,22,5,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0
hudsoti01,2000,1,OAK,AL,33,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
downssc01,2000,2,MON,NL,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grillja01,2000,1,FLO,NL,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0.5
suzukic01,2001,1,SEA,AL,157,692,127,242,34,8,8,69,56,14,30,53,10,8,4,4,3,0.349710983,0.456647399
rolliji01,2001,1,PHI,NL,158,656,97,180,29,12,14,54,46,8,48,108,2,2,9,5,5,0.274390244,0.419207317
beltrca01,2001,1,KCA,AL,155,617,106,189,32,12,24,101,31,1,52,120,2,5,1,5,7,0.306320908,0.513776337
jeterde01,2001,1,NYA,AL,150,614,110,191,35,3,21,74,27,3,56,99,3,10,5,1,13,0.311074919,0.480456026
ramirar01,2001,1,PIT,NL,158,603,83,181,40,0,34,112,5,4,40,100,4,8,0,4,9,0.300165837,0.535655058
pujolal01,2001,1,SLN,NL,161,590,112,194,47,4,37,130,1,3,69,93,6,9,1,7,21,0.328813559,0.610169492
abreubo01,2001,1,PHI,NL,162,588,118,170,48,4,31,110,36,14,106,137,11,1,0,9,13,0.289115646,0.542517007
konerpa01,2001,1,CHA,AL,156,582,92,164,35,0,32,99,1,0,54,89,6,9,0,5,17,0.281786942,0.506872852
soriaal01,2001,1,NYA,AL,158,574,77,154,34,3,18,73,43,14,29,125,0,3,3,5,7,0.268292683,0.432055749
hunteto01,2001,1,MIN,AL,148,564,82,147,32,5,27,92,9,6,29,125,0,8,1,1,12,0.260638298,0.478723404
chaveer01,2001,1,OAK,AL,151,552,91,159,43,0,32,114,8,2,41,99,9,4,0,7,7,0.288043478,0.539855072
giambja01,2001,1,OAK,AL,154,520,109,178,47,2,38,120,2,0,129,83,24,13,0,9,17,0.342307692,0.659615385
gonzaal02,2001,1,FLO,NL,145,515,57,129,36,1,9,48,2,2,30,107,6,10,3,3,13,0.250485437,0.376699029
beltrad01,2001,1,LAN,NL,126,475,59,126,22,4,13,60,13,4,28,82,1,5,2,5,9,0.265263158,0.410526316
pierzaj01,2001,1,MIN,AL,114,381,51,110,33,2,7,55,1,7,16,57,4,4,1,3,7,0.288713911,0.440944882
furcara01,2001,1,ATL,NL,79,324,39,89,19,0,4,30,22,6,24,56,1,1,4,6,5,0.274691358,0.37037037
ortizda01,2001,1,MIN,AL,89,303,46,71,17,1,18,48,1,0,40,68,8,1,1,2,6,0.234323432,0.475247525
ibanera01,2001,1,KCA,AL,104,279,44,78,11,5,13,54,0,2,32,51,2,0,0,1,6,0.279569892,0.494623656
uribeju01,2001,1,COL,NL,72,273,32,82,15,11,8,53,3,0,8,55,1,2,0,0,6,0.3003663,0.523809524
roberbr01,2001,1,BAL,AL,75,273,42,69,12,3,2,17,12,3,13,36,0,0,3,3,3,0.252747253,0.340659341
dunnad01,2001,1,CIN,NL,66,244,54,64,18,1,19,43,4,2,38,74,2,4,0,0,4,0.262295082,0.577868852
chaveen01,2001,1,KCA,AL,29,77,4,16,2,0,0,5,0,2,3,8,0,0,0,0,3,0.207792208,0.233766234
wrighja01,2001,1,MIL,NL,34,67,7,13,1,0,0,4,0,0,3,20,0,0,4,0,0,0.194029851,0.208955224
pennybr01,2001,1,FLO,NL,31,62,5,10,1,1,0,1,0,0,1,19,0,0,3,0,0,0.161290323,0.209677419
penaca01,2001,1,TEX,AL,22,62,6,16,4,1,3,12,0,0,10,17,0,0,0,0,1,0.258064516,0.5
burneaj01,2001,1,FLO,NL,27,50,0,4,1,0,0,0,0,0,1,27,0,1,7,0,0,0.08,0.1
wolfra02,2001,1,PHI,NL,28,45,2,8,0,0,0,2,0,0,3,13,0,0,5,0,1,0.177777778,0.177777778
molinjo01,2001,1,ANA,AL,15,37,8,10,3,0,2,4,0,0,3,8,0,0,2,0,2,0.27027027,0.513513514
chenbr01,2001,1,PHI,NL,16,28,1,3,0,0,0,0,0,0,0,10,0,0,3,0,0,0.107142857,0.107142857
beimejo01,2001,1,PIT,NL,42,26,3,7,0,0,0,0,0,0,1,10,0,0,4,0,0,0.269230769,0.269230769
mcdonjo03,2001,1,CLE,AL,17,22,1,2,1,0,0,0,0,0,1,7,0,1,1,0,0,0.090909091,0.136363636
arroybr01,2001,1,PIT,NL,24,21,0,1,0,0,0,1,0,0,1,16,0,0,0,1,0,0.047619048,0.047619048
chenbr01,2001,2,NYN,NL,11,19,0,3,0,0,0,0,0,0,0,9,0,0,2,0,1,0.157894737,0.157894737
cuddymi01,2001,1,MIN,AL,8,18,1,4,2,0,0,1,1,0,2,6,0,0,0,0,1,0.222222222,0.333333333
vogelry01,2001,1,SFN,NL,13,8,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0.125,0.25
hudsoti01,2001,1,OAK,AL,36,8,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
colonba01,2001,1,CLE,AL,34,7,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0.142857143,0.142857143
beckejo02,2001,1,FLO,NL,4,7,1,2,1,0,0,0,0,0,0,1,0,0,2,0,0,0.285714286,0.428571429
grillja01,2001,1,FLO,NL,6,7,1,2,0,0,1,2,0,0,0,2,0,0,2,0,0,0.285714286,0.714285714
puntoni01,2001,1,PHI,NL,4,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4
lohseky01,2001,1,MIN,AL,19,5,0,2,1,0,0,1,0,0,0,2,0,0,0,0,0,0.4,0.6
sabatcc01,2001,1,CLE,AL,33,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
choatra01,2001,1,NYA,AL,37,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
buehrma01,2001,1,CHA,AL,32,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
vogelry01,2001,2,PIT,NL,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
farnsky01,2001,1,CHN,NL,76,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
overbly01,2001,1,ARI,NL,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0.5
soriaal01,2002,1,NYA,AL,156,696,128,209,51,2,39,102,41,13,23,157,1,14,1,7,8,0.300287356,0.547413793
suzukic01,2002,1,SEA,AL,157,647,111,208,27,8,8,51,31,15,68,62,27,5,3,5,8,0.321483771,0.42503864
jeterde01,2002,1,NYA,AL,157,644,124,191,26,0,18,75,32,3,73,114,2,7,3,3,14,0.296583851,0.420807453
beltrca01,2002,1,KCA,AL,162,637,114,174,44,7,29,105,35,7,71,135,1,4,3,7,12,0.273155416,0.500784929
rolliji01,2002,1,PHI,NL,154,637,82,156,33,10,11,60,31,13,54,103,3,4,6,4,14,0.244897959,0.379905808
furcara01,2002,1,ATL,NL,154,636,95,175,31,8,8,47,27,15,43,114,0,3,9,2,8,0.275157233,0.386792453
pujolal01,2002,1,SLN,NL,157,590,118,185,40,2,34,127,2,4,72,69,13,9,0,4,20,0.313559322,0.561016949
beltrad01,2002,1,LAN,NL,159,587,70,151,26,5,21,75,7,5,37,96,4,4,1,6,17,0.257240204,0.425894378
chaveer01,2002,1,OAK,AL,153,585,87,161,31,3,34,109,8,3,65,119,13,1,0,2,8,0.275213675,0.512820513
abreubo01,2002,1,PHI,NL,157,572,102,176,50,6,20,85,31,12,104,117,9,3,0,6,11,0.307692308,0.520979021
konerpa01,2002,1,CHA,AL,151,570,81,173,30,0,27,104,0,0,44,72,2,9,0,7,17,0.303508772,0.498245614
uribeju01,2002,1,COL,NL,155,566,69,136,25,7,6,49,9,2,34,120,1,5,7,6,17,0.240282686,0.340989399
hunteto01,2002,1,MIN,AL,148,561,89,162,37,4,29,94,23,8,35,118,3,5,0,3,17,0.288770053,0.524064171
giambja01,2002,1,NYA,AL,155,560,120,176,34,1,41,122,2,2,109,112,4,15,0,5,18,0.314285714,0.598214286
dunnad01,2002,1,CIN,NL,158,535,84,133,28,2,26,71,19,9,128,170,13,9,1,3,8,0.248598131,0.454205607
ramirar01,2002,1,PIT,NL,142,522,51,122,26,0,18,71,2,0,29,95,3,8,0,11,17,0.233716475,0.38697318
ibanera01,2002,1,KCA,AL,137,497,70,146,37,6,24,103,5,3,40,76,5,2,1,4,11,0.293762575,0.53722334
pierzaj01,2002,1,MIN,AL,130,440,54,132,31,6,6,49,1,2,13,61,1,11,2,3,14,0.3,0.438636364
ortizda01,2002,1,MIN,AL,125,412,52,112,32,1,20,75,1,2,43,87,0,3,0,8,5,0.27184466,0.5
ellisma01,2002,1,OAK,AL,98,345,58,94,16,4,6,35,4,2,44,54,1,4,8,3,3,0.272463768,0.394202899
penaca01,2002,2,DET,AL,75,273,31,69,13,4,12,36,2,2,26,73,0,2,0,1,5,0.252747253,0.461538462
mcdonjo03,2002,1,CLE,AL,93,264,35,66,11,3,1,12,3,0,10,50,0,5,7,2,4,0.25,0.325757576
crawfca02,2002,1,TBA,AL,63,259,23,67,11,6,2,30,9,5,9,41,0,3,6,1,0,0.258687259,0.370656371
santira01,2002,1,DET,AL,65,222,33,54,5,5,4,20,8,5,13,48,0,8,4,2,2,0.243243243,0.364864865
gonzaal02,2002,1,FLO,NL,42,151,15,34,7,1,2,18,3,1,12,32,1,4,3,2,2,0.225165563,0.324503311
roberbr01,2002,1,BAL,AL,38,128,18,29,6,0,1,11,9,2,15,21,0,1,3,2,3,0.2265625,0.296875
crispco01,2002,1,CLE,AL,32,127,16,33,9,2,1,9,4,1,11,19,0,0,3,2,0,0.25984252,0.385826772
chaveen01,2002,1,MON,NL,36,125,20,37,8,5,1,9,3,5,5,16,0,0,7,1,0,0.296,0.464
penaca01,2002,1,OAK,AL,40,124,12,27,4,0,7,16,0,0,15,38,0,1,0,1,2,0.217741935,0.419354839
cuddymi01,2002,1,MIN,AL,41,112,12,29,7,0,4,13,2,0,8,30,0,1,1,1,3,0.258928571,0.428571429
ludwiry01,2002,1,TEX,AL,23,81,10,19,6,0,1,9,2,1,7,24,0,0,0,0,4,0.234567901,0.345679012
nievewi01,2002,1,SDN,NL,28,72,2,13,3,1,0,3,1,0,4,15,4,0,0,0,1,0.180555556,0.25
infanom01,2002,1,DET,AL,18,72,4,24,3,0,1,6,0,1,3,10,0,0,0,0,0,0.333333333,0.416666667
molinjo01,2002,1,ANA,AL,29,70,5,19,3,0,0,5,0,2,5,15,0,0,4,2,2,0.271428571,0.314285714
laneja01,2002,1,HOU,NL,44,69,12,20,3,1,4,10,1,1,10,12,1,0,0,1,0,0.289855072,0.536231884
wolfra02,2002,1,PHI,NL,32,59,6,8,4,0,1,4,0,0,4,24,0,0,12,0,3,0.13559322,0.254237288
burneaj01,2002,1,FLO,NL,31,57,1,6,2,0,1,3,0,0,5,28,0,0,7,0,1,0.105263158,0.192982456
pennybr01,2002,1,FLO,NL,24,48,1,8,2,0,0,1,0,0,0,14,0,0,1,0,0,0.166666667,0.208333333
werthja01,2002,1,TOR,AL,15,46,4,12,2,1,0,6,1,0,6,11,0,0,0,1,4,0.260869565,0.347826087
colonba01,2002,2,MON,NL,17,39,1,5,0,0,0,3,0,0,0,20,0,1,2,1,0,0.128205128,0.128205128
scutama01,2002,1,NYN,NL,27,36,2,8,0,1,1,6,0,1,0,11,0,0,1,1,1,0.222222222,0.361111111
byrdma01,2002,1,PHI,NL,10,35,2,8,2,0,1,1,0,2,1,8,0,0,0,0,0,0.228571429,0.371428571
wrighja01,2002,1,MIL,NL,19,33,0,5,3,0,0,0,0,0,0,13,0,0,6,0,0,0.151515152,0.242424242
peavyja01,2002,1,SDN,NL,17,33,4,7,3,0,0,2,0,1,0,13,0,0,2,0,0,0.212121212,0.303030303
bloomwi01,2002,1,SEA,AL,12,33,11,15,4,0,0,7,3,1,5,2,0,0,0,0,0,0.454545455,0.575757576
martivi01,2002,1,CLE,AL,12,32,2,9,1,0,1,5,0,0,3,2,0,0,0,1,1,0.28125,0.40625
beckejo02,2002,1,FLO,NL,23,31,0,1,1,0,0,0,0,0,0,21,0,0,5,0,0,0.032258065,0.064516129
phillbr01,2002,1,CLE,AL,11,31,5,8,3,1,0,4,0,0,3,6,0,1,1,0,0,0.258064516,0.419354839
perezol01,2002,1,SDN,NL,16,30,1,4,0,0,0,0,0,0,0,11,0,0,3,0,0,0.133333333,0.133333333
olivomi01,2002,1,CHA,AL,6,19,2,4,1,0,1,5,0,0,2,5,0,0,0,0,1,0.210526316,0.421052632
chenbr01,2002,2,MON,NL,15,12,3,5,1,0,0,1,0,0,0,3,0,0,1,0,0,0.416666667,0.5
figgich01,2002,1,ANA,AL,15,12,6,2,1,0,0,1,2,1,0,5,0,0,0,0,1,0.166666667,0.25
overbly01,2002,1,ARI,NL,10,10,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0.1,0.1
beimejo01,2002,1,PIT,NL,53,10,0,3,1,0,0,1,0,0,1,3,0,0,2,0,0,0.3,0.4
rossda01,2002,1,LAN,NL,8,10,2,2,1,0,1,2,0,0,2,4,0,1,0,0,0,0.2,0.6
arroybr01,2002,1,PIT,NL,9,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
colonba01,2002,1,CLE,AL,16,6,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0.166666667,0.166666667
buehrma01,2002,1,CHA,AL,34,6,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0.166666667,0.166666667
puntoni01,2002,1,PHI,NL,9,6,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0.166666667,0.166666667
wrighja01,2002,2,SLN,NL,4,5,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0
sabatcc01,2002,1,CLE,AL,33,5,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.2,0.2
hudsoti01,2002,1,OAK,AL,34,5,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0.2,0.4
soriara01,2002,1,SEA,AL,11,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
lohseky01,2002,1,MIN,AL,32,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.25,0.25
haranaa01,2002,1,OAK,AL,16,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
chenbr01,2002,3,CIN,NL,39,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
soriaal01,2003,1,NYA,AL,156,682,114,198,36,5,38,91,35,8,38,130,7,12,0,2,8,0.290322581,0.524926686
suzukic01,2003,1,SEA,AL,159,679,111,212,29,8,13,62,34,8,36,69,7,6,3,1,3,0.312223859,0.435935199
furcara01,2003,1,ATL,NL,156,664,130,194,35,10,15,61,25,2,60,76,2,3,3,4,1,0.292168675,0.442771084
crawfca02,2003,1,TBA,AL,151,630,80,177,18,9,5,54,55,10,26,102,4,1,1,3,5,0.280952381,0.361904762
rolliji01,2003,1,PHI,NL,156,628,85,165,42,6,8,62,20,12,54,113,4,0,5,2,9,0.262738854,0.386942675
ibanera01,2003,1,KCA,AL,157,608,95,179,33,5,18,90,8,4,49,81,5,3,1,10,10,0.294407895,0.453947368
pujolal01,2003,1,SLN,NL,157,591,137,212,51,1,43,124,5,1,79,65,12,10,0,5,13,0.358714044,0.666666667
chaveer01,2003,1,OAK,AL,156,588,94,166,39,5,29,101,8,3,62,89,10,1,0,3,14,0.282312925,0.513605442
hunteto01,2003,1,MIN,AL,154,581,83,145,31,4,26,102,6,7,50,106,7,5,0,6,15,0.249569707,0.450946644
abreubo01,2003,1,PHI,NL,158,577,99,173,35,1,20,101,22,9,109,126,13,2,0,7,13,0.29982669,0.467937608
beltrad01,2003,1,LAN,NL,158,559,50,134,30,2,23,80,2,2,37,103,4,5,1,6,13,0.239713775,0.423971377
ellisma01,2003,1,OAK,AL,154,553,78,137,31,5,9,52,6,2,48,94,4,7,9,5,7,0.247739602,0.370705244
giambja01,2003,1,NYA,AL,156,535,97,134,25,0,41,107,2,1,129,140,9,21,0,5,9,0.25046729,0.527102804
teixema01,2003,1,TEX,AL,146,529,66,137,29,5,26,84,1,2,44,120,5,14,0,2,14,0.258979206,0.480151229
gonzaal02,2003,1,FLO,NL,150,528,52,135,33,6,18,77,0,4,33,106,13,13,3,5,8,0.255681818,0.443181818
beltrca01,2003,1,KCA,AL,141,521,102,160,14,10,26,100,41,4,72,81,4,2,0,7,8,0.307101727,0.522072937
byrdma01,2003,1,PHI,NL,135,495,86,150,28,4,7,45,11,1,44,94,3,7,4,3,8,0.303030303,0.418181818
pierzaj01,2003,1,MIN,AL,137,487,63,152,35,3,11,74,3,1,24,55,12,15,2,5,13,0.31211499,0.464065708
chaveen01,2003,1,MON,NL,141,483,66,121,25,5,5,47,18,7,31,59,3,0,9,3,7,0.250517598,0.354037267
